SDP_Id,MSISDN_START,MSISDN_END
meylvvmsdp06a,44023700,44023799
meylvvmsdp06a,44023800,44023899
meylvvmsdp06a,44023900,44023999
meylvvmsdp06a,44024000,44024099
meylvvmsdp06a,44024100,44024199
meylvvmsdp06a,44024200,44024299
meylvvmsdp06a,44024300,44024399
meylvvmsdp06a,44024400,44024499
meylvvmsdp06a,44024500,44024599
meylvvmsdp06a,44024600,44024699
meylvvmsdp06a,44024700,44024799
meylvvmsdp06a,44024800,44024899
meylvvmsdp06a,44024900,44024999
meylvvmsdp06a,44025000,44025099
meylvvmsdp06a,44025100,44025199
meylvvmsdp06a,44025200,44025299
meylvvmsdp06a,44025300,44025399
meylvvmsdp06a,44025400,44025499
meylvvmsdp06a,44025500,44025599
meylvvmsdp06a,44025600,44025699
meylvvmsdp06a,44025700,44025799
meylvvmsdp06a,44025800,44025899
meylvvmsdp06a,44025900,44025999
meylvvmsdp06a,44026000,44026099
meylvvmsdp06a,44026100,44026199
meylvvmsdp06a,44026200,44026299
meylvvmsdp06a,44026300,44026399
meylvvmsdp06a,44026400,44026499
meylvvmsdp06a,44026500,44026599
meylvvmsdp06a,44026600,44026699
meylvvmsdp06a,44026700,44026799
meylvvmsdp06a,44026800,44026899
meylvvmsdp06a,44026900,44026999
meylvvmsdp06a,44027000,44027099
meylvvmsdp06a,44027100,44027199
meylvvmsdp06a,44027200,44027299
meylvvmsdp06a,44027300,44027399
meylvvmsdp06a,44027400,44027499
meylvvmsdp06a,44027500,44027599
meylvvmsdp06a,44027600,44027699
meylvvmsdp06a,44027700,44027799
meylvvmsdp06a,44027800,44027899
meylvvmsdp06a,44027900,44027999
meylvvmsdp06a,44028000,44028099
meylvvmsdp06a,44028100,44028199
meylvvmsdp06a,44028200,44028299
meylvvmsdp06a,44028300,44028399
meylvvmsdp06a,44028400,44028499
meylvvmsdp06a,44028500,44028599
meylvvmsdp06a,44028600,44028699
meylvvmsdp06a,44028700,44028799
meylvvmsdp06a,44028800,44028899
meylvvmsdp06a,44028900,44028999
meylvvmsdp06a,44029000,44029099
meylvvmsdp06a,44029100,44029199
meylvvmsdp06a,44029200,44029299
meylvvmsdp06a,44029300,44029399
meylvvmsdp06a,44029400,44029499
meylvvmsdp06a,44029500,44029599
meylvvmsdp06a,44029600,44029699
meylvvmsdp06a,44029700,44029799
meylvvmsdp06a,44029800,44029899
meylvvmsdp06a,44029900,44029999
meylvvmsdp06a,44030000,44030099
meylvvmsdp06a,44030100,44030199
meylvvmsdp06a,44030200,44030299
meylvvmsdp06a,44030300,44030399
meylvvmsdp06a,44030400,44030499
meylvvmsdp06a,44030500,44030599
meylvvmsdp06a,44030600,44030699
meylvvmsdp06a,44030700,44030799
meylvvmsdp06a,44030800,44030899
meylvvmsdp06a,44030900,44030999
meylvvmsdp06a,44031000,44031099
meylvvmsdp06a,44031100,44031199
meylvvmsdp06a,44031200,44031299
meylvvmsdp06a,44031300,44031399
meylvvmsdp06a,44031400,44031499
meylvvmsdp06a,44031500,44031599
meylvvmsdp06a,44031600,44031699
meylvvmsdp06a,44031700,44031799
meylvvmsdp06a,44031800,44031899
meylvvmsdp06a,44031900,44031999
meylvvmsdp06a,44032000,44032099
meylvvmsdp06a,44032100,44032199
meylvvmsdp06a,44032200,44032299
meylvvmsdp06a,44032300,44032399
meylvvmsdp06a,44032400,44032499
meylvvmsdp06a,44032500,44032599
meylvvmsdp06a,44032600,44032699
meylvvmsdp06a,44032700,44032799
meylvvmsdp06a,44032800,44032899
